iter	Passed	Remaining
342	1395	2673
343	1399	2668
344	1401	2660
345	1404	2653
346	1412	2658
347	1416	2654
348	1418	2646
349	1425	2646
350	1428	2640
351	1430	2633
352	1433	2626
353	1435	2619
354	1438	2614
355	1441	2608
356	1444	2601
357	1446	2594
358	1449	2587
359	1453	2584
360	1458	2581
361	1466	2585
362	1477	2592
363	1481	2588
364	1486	2585
365	1488	2578
366	1491	2573
367	1498	2572
368	1505	2574
369	1508	2568
370	1511	2562
371	1517	2561
372	1520	2555
373	1523	2549
374	1526	2544
375	1530	2540
376	1535	2537
377	1539	2533
378	1542	2526
379	1548	2526
380	1551	2520
381	1554	2515
382	1557	2509
383	1561	2505
384	1566	2502
385	1569	2496
386	1571	2489
387	1574	2483
388	1579	2481
389	1581	2474
390	1584	2467
391	1587	2461
392	1589	2455
393	1595	2453
394	1598	2447
395	1601	2442
396	1603	2436
397	1609	2434
398	1612	2428
399	1614	2422
400	1618	2417
401	1623	2415
402	1626	2409
403	1629	2403
404	1631	2396
405	1635	2392
406	1640	2390
407	1642	2383
408	1646	2378
409	1648	2371
410	1650	2364
411	1656	2364
412	1659	2359
413	1663	2355
414	1670	2355
415	1673	2349
416	1676	2343
417	1678	2336
418	1679	2329
419	1682	2323
420	1686	2319
421	1688	2313
422	1691	2307
423	1695	2303
424	1697	2296
425	1702	2293
426	1706	2290
427	1711	2287
428	1717	2286
429	1721	2281
430	1724	2276
431	1728	2272
432	1734	2271
433	1738	2266
434	1741	2261
435	1744	2256
436	1748	2252
437	1750	2246
438	1752	2239
439	1755	2234
440	1758	2228
441	1760	2222
442	1764	2219
443	1766	2212
444	1769	2206
445	1772	2201
446	1774	2195
447	1776	2188
448	1780	2184
449	1783	2179
450	1785	2173
451	1787	2167
452	1789	2160
453	1791	2154
454	1795	2150
455	1798	2145
456	1800	2138
457	1803	2133
458	1805	2127
459	1807	2121
460	1810	2117
461	1813	2112
462	1816	2106
463	1818	2100
464	1820	2094
465	1824	2090
466	1827	2085
467	1830	2081
468	1833	2076
469	1835	2069
470	1837	2063
471	1840	2058
472	1843	2053
473	1844	2047
474	1846	2040
475	1848	2034
476	1850	2028
477	1851	2022
478	1855	2018
479	1857	2012
480	1859	2006
481	1862	2001
482	1864	1995
483	1866	1989
484	1867	1983
485	1871	1979
486	1873	1973
487	1875	1967
488	1877	1962
489	1880	1957
490	1882	1951
491	1886	1948
492	1888	1942
493	1891	1937
494	1893	1932
495	1896	1926
496	1900	1923
497	1902	1918
498	1904	1912
499	1906	1906
500	1908	1901
501	1910	1895
502	1913	1890
503	1915	1885
504	1917	1879
505	1919	1873
506	1921	1868
507	1924	1863
508	1927	1858
509	1928	1852
510	1932	1849
511	1934	1843
512	1937	1838
513	1939	1834
514	1941	1828
515	1948	1828
516	1952	1824
517	1954	1818
518	1959	1815
519	1965	1813
520	1969	1810
521	1974	1808
522	1979	1805
523	1982	1800
524	1985	1796
525	1989	1792
526	1994	1790
527	1997	1785
528	2000	1781
529	2003	1776
530	2008	1774
531	2012	1770
532	2015	1765
533	2017	1760
534	2020	1755
535	2024	1752
536	2027	1748
537	2030	1743
538	2032	1738
539	2035	1733
540	2040	1730
541	2042	1725
542	2044	1720
543	2046	1715
544	2049	1710
545	2051	1706
546	2055	1702
547	2057	1697
548	2059	1691
549	2060	1686
550	2062	1680
551	2065	1676
552	2068	1672
553	2071	1667
554	2073	1662
555	2077	1659
556	2079	1653
557	2083	1650
558	2085	1645
559	2086	1639
560	2089	1635
561	2092	1631
562	2094	1625
563	2099	1622
564	2103	1619
565	2106	1614
566	2109	1611
567	2114	1607
568	2117	1604
569	2120	1599
570	2122	1594
571	2124	1589
572	2126	1584
573	2130	1580
574	2132	1576
575	2134	1571
576	2136	1566
577	2138	1561
578	2140	1556
579	2145	1553
580	2148	1549
581	2152	1546
582	2156	1542
583	2161	1539
584	2168	1538
585	2172	1534
586	2176	1531
587	2179	1527
588	2181	1522
589	2185	1518
590	2187	1513
591	2192	1510
592	2195	1507
593	2198	1502
594	2200	1498
595	2203	1493
596	2206	1489
597	2208	1484
598	2211	1480
599	2213	1475
600	2216	1471
601	2221	1469
602	2225	1465
603	2228	1461
604	2230	1456
605	2234	1452
606	2236	1448
607	2239	1443
608	2242	1439
609	2245	1435
610	2249	1432
611	2251	1427
612	2253	1422
613	2256	1418
614	2258	1413
615	2262	1410
616	2266	1406
617	2267	1401
618	2269	1397
619	2272	1392
620	2274	1388
621	2277	1383
622	2280	1380
623	2282	1375
624	2285	1371
625	2287	1366
626	2290	1362
627	2296	1360
628	2299	1356
629	2301	1351
630	2303	1347
631	2306	1343
632	2310	1339
633	2312	1335
634	2314	1330
635	2317	1326
636	2320	1322
637	2322	1317
638	2327	1314
639	2330	1310
640	2334	1307
641	2337	1303
642	2341	1299
643	2343	1295
644	2346	1291
645	2350	1287
646	2352	1283
647	2356	1280
648	2359	1276
649	2361	1271
650	2363	1267
651	2366	1263
652	2371	1260
653	2374	1256
654	2377	1252
655	2381	1248
656	2383	1244
657	2388	1241
658	2391	1237
659	2394	1233
660	2397	1229
661	2400	1225
662	2404	1221
663	2406	1217
664	2409	1213
665	2412	1209
666	2418	1207
667	2420	1203
668	2423	1199
669	2426	1195
670	2429	1191
671	2435	1188
672	2437	1184
673	2440	1180
674	2444	1176
675	2450	1174
676	2454	1170
677	2458	1167
678	2464	1164
679	2468	1161
680	2471	1157
681	2474	1153
682	2480	1151
683	2484	1147
684	2487	1143
685	2491	1140
686	2496	1137
687	2499	1133
688	2502	1129
689	2508	1127
690	2511	1122
691	2514	1119
692	2518	1115
693	2521	1111
694	2526	1108
695	2529	1104
696	2532	1100
697	2535	1097
698	2539	1093
699	2542	1089
700	2545	1085
701	2547	1081
702	2550	1077
703	2554	1073
704	2557	1069
705	2559	1065
706	2562	1061
707	2565	1058
708	2570	1055
709	2574	1051
710	2578	1047
711	2584	1045
712	2587	1041
713	2590	1037
714	2593	1033
715	2595	1029
716	2600	1026
717	2602	1021
718	2604	1018
719	2607	1013
720	2609	1009
721	2611	1005
722	2615	1002
723	2618	998
724	2620	994
725	2622	989
726	2624	985
727	2626	981
728	2630	977
729	2632	973
730	2635	969
731	2637	965
732	2639	961
733	2641	957
734	2643	953
735	2645	948
736	2646	944
737	2648	940
738	2650	935
739	2651	931
740	2653	927
741	2654	922
742	2655	918
743	2657	914
744	2659	910
745	2662	906
746	2663	902
747	2665	898
748	2667	893
749	2669	889
750	2671	885
751	2675	882
752	2677	878
753	2679	874
754	2681	870
755	2683	866
756	2685	861
757	2688	858
758	2691	854
759	2693	850
760	2695	846
761	2697	842
762	2699	838
763	2701	834
764	2704	830
765	2706	826
766	2709	823
767	2711	819
768	2714	815
769	2716	811
770	2718	807
771	2720	803
772	2722	799
773	2726	796
774	2728	792
775	2731	788
776	2735	785
777	2737	781
778	2740	777
779	2742	773
780	2745	769
781	2748	766
782	2751	762
783	2754	758
784	2756	755
785	2758	751
786	2760	747
787	2764	743
788	2766	739
789	2767	735
790	2769	731
791	2771	727
792	2773	723
793	2775	720
794	2776	716
795	2780	712
796	2782	708
797	2784	704
798	2786	701
799	2788	697
800	2790	693
801	2791	689
802	2795	685
803	2797	681
804	2799	678
805	2801	674
806	2803	670
807	2805	666
808	2807	662
809	2810	659
810	2812	655
811	2814	651
812	2816	647
813	2818	644
814	2820	640
815	2822	636
816	2826	632
817	2827	629
818	2830	625
819	2831	621
820	2833	617
821	2835	614
822	2837	610
823	2840	606
824	2843	603
825	2845	599
